City,New Population,Wikpedia Link
London,"8,174,000",https://en.wikipedia.org/wiki/London
Leeds,"474,632",https://en.wikipedia.org/wiki/Leeds
Wolverhampton,"254,406",https://en.wikipedia.org/wiki/Wolverhampton
Caerphilly,"41,402",https://en.wikipedia.org/wiki/Caerphilly
Lurgan,"25,069",https://en.wikipedia.org/wiki/Lurgan
Bradford,"539,776",https://en.wikipedia.org/wiki/Bradford
Stockton-on-Tees,"85,000",https://en.wikipedia.org/wiki/Stockton-on-Tees
Neath,"19,258",https://en.wikipedia.org/wiki/Neath
Devon,802375,https://en.wikipedia.org/wiki/Devon
Newcastle upon Tyne,"302,820",https://en.wikipedia.org/wiki/Newcastle upon Tyne
Worthing,"110,570",https://en.wikipedia.org/wiki/Worthing
Salford,"103,886",https://en.wikipedia.org/wiki/Salford
Fife,"371,910",https://en.wikipedia.org/wiki/Fife
Manchester,"552,858",https://en.wikipedia.org/wiki/Manchester
Oldbury,"25,488",https://en.wikipedia.org/wiki/Oldbury
Guildford,"77,057",https://en.wikipedia.org/wiki/Guildford
Suffolk,"758,556",https://en.wikipedia.org/wiki/Suffolk
Ashford,"74,204","https://en.wikipedia.org/wiki/Ashford,_Kent"
Pudsey,"22,408",https://en.wikipedia.org/wiki/Pudsey
Sutton,"41,483",https://en.wikipedia.org/wiki/Sutton
Winsford,"32,610",https://en.wikipedia.org/wiki/Winsford
Lancaster,"52,234",https://en.wikipedia.org/wiki/Lancaster
Warwick,"31,345",https://en.wikipedia.org/wiki/Warwick
Redhill,"18,163","https://en.wikipedia.org/wiki/Redhill,_Surrey"
Rochford,"8,471",https://en.wikipedia.org/wiki/Rochford
Sale,"134,022","https://en.wikipedia.org/wiki/Sale,_Greater_Manchester"
Brighton,"290,885",https://en.wikipedia.org/wiki/Brighton
Tipton,"38,777",https://en.wikipedia.org/wiki/Tipton
Havant,"45,826",https://en.wikipedia.org/wiki/Havant
Ascot,"11,603","https://en.wikipedia.org/wiki/Ascot,_Berkshire"
Brampton,"4,627","https://en.wikipedia.org/wiki/Brampton,_Carlisle"
Hove,"91,900",https://en.wikipedia.org/wiki/Hove
Alton,"17,816","https://en.wikipedia.org/wiki/Alton,_Hampshire"
Wymondham,"14,405",https://en.wikipedia.org/wiki/Wymondham
Belfast,"341,877",https://en.wikipedia.org/wiki/Belfast
Drayton,"13,054","https://en.wikipedia.org/wiki/Drayton,_Hampshire"
Omagh,"19,659",https://en.wikipedia.org/wiki/Omagh
Wakefield,"99,251",https://en.wikipedia.org/wiki/Wakefield
Lisburn,"45,370",https://en.wikipedia.org/wiki/Lisburn
Ashington,"27,764",https://en.wikipedia.org/wiki/Ashington
Wokingham,"46,745",https://en.wikipedia.org/wiki/Wokingham
Woking,"62,796",https://en.wikipedia.org/wiki/Woking
Hull,"259,778",https://en.wikipedia.org/wiki/Kingston_upon_Hull
Clapham,"40,850",https://en.wikipedia.org/wiki/Clapham
Scampton,"1,358",https://en.wikipedia.org/wiki/Scampton
Redcar,"35,692",https://en.wikipedia.org/wiki/Redcar
Newtownabbey,"65,646",https://en.wikipedia.org/wiki/Newtownabbey
Coleford,"8,359",https://en.wikipedia.org/wiki/Coleford
Seal,"2,556","https://en.wikipedia.org/wiki/Seal,_Kent"
Langford,"3,091","https://en.wikipedia.org/wiki/Langford,_Bedfordshire"
Rotherham,"109,691",https://en.wikipedia.org/wiki/Rotherham
Binfield,"7,880",https://en.wikipedia.org/wiki/Binfield
Whitchurch,"9,781","https://en.wikipedia.org/wiki/Whitchurch,_Shropshire"
Newtown,"11,357","https://en.wikipedia.org/wiki/Newtown,_Powys"
Somercotes,"6,255",https://en.wikipedia.org/wiki/Somercotes
Heybridge,"8,175","https://en.wikipedia.org/wiki/Heybridge,_Maldon"
Stornoway,"8,038",https://en.wikipedia.org/wiki/Stornoway
Bentham,"3,027","https://en.wikipedia.org/wiki/Bentham,_North_Yorkshire"
Aldermaston,"1,015",https://en.wikipedia.org/wiki/Aldermaston
Dorchester,"19,060","https://en.wikipedia.org/wiki/Dorchester,_Dorset"
Fenton,"12,070","https://en.wikipedia.org/wiki/Fenton,_Staffordshire"
West Kirby,"12,733",https://en.wikipedia.org/wiki/West Kirby
Wicken,839,"https://en.wikipedia.org/wiki/Wicken,_Cambridgeshire"
Buxton,"22,215",https://en.wikipedia.org/wiki/Buxton
Lechlade,"2,850",https://en.wikipedia.org/wiki/Lechlade
Withington,"13,422",https://en.wikipedia.org/wiki/Withington
Ramsey,"8,479","https://en.wikipedia.org/wiki/Ramsey,_Cambridgeshire"
Burnham,"11,630","https://en.wikipedia.org/wiki/Burnham,_Buckinghamshire"
Castleton,649,"https://en.wikipedia.org/wiki/Castleton,_Derbyshire"
Swallowfield,"1,961",https://en.wikipedia.org/wiki/Swallowfield
Kirkcaldy,"50,180",https://en.wikipedia.org/wiki/Kirkcaldy
Ware,"18,799","https://en.wikipedia.org/wiki/Ware,_Hertfordshire"
Malton,"4,888",https://en.wikipedia.org/wiki/Malton
Portland,"12,797",https://en.wikipedia.org/wiki/Isle_of_Portland
Hook,"7,770","https://en.wikipedia.org/wiki/Hook,_Hart"
Tilbury,"12,450",https://en.wikipedia.org/wiki/Tilbury
Melbourne,"4,843","https://en.wikipedia.org/wiki/Melbourne,_Derbyshire"
Haddenham,"4,502","https://en.wikipedia.org/wiki/Haddenham,_Buckinghamshire"
Lyneham,"4,945","https://en.wikipedia.org/wiki/Lyneham,_Wiltshire"
Iver,"11,119",https://en.wikipedia.org/wiki/Iver
Torquay,"65,245",https://en.wikipedia.org/wiki/Torquay
Barnsley,"91,297",https://en.wikipedia.org/wiki/Barnsley
Lindsey,208,"https://en.wikipedia.org/wiki/Lindsey,_Suffolk"
Newbury,"41,075",https://en.wikipedia.org/wiki/Newbury
Glasgow,"633,120",https://en.wikipedia.org/wiki/Glasgow
Bournemouth,"183,491",https://en.wikipedia.org/wiki/Bournemouth
Stock,"2,100","https://en.wikipedia.org/wiki/Stock,_Essex"
Chesham,"21,483",https://en.wikipedia.org/wiki/Chesham
Farringdon,664,"https://en.wikipedia.org/wiki/Farringdon,_Hampshire"
Brough,751,https://en.wikipedia.org/wiki/Brough
Amersham,"14,384",https://en.wikipedia.org/wiki/Amersham
Morecambe,"60,768",https://en.wikipedia.org/wiki/Morecambe
Paignton,"49,021",https://en.wikipedia.org/wiki/Paignton
Thatcham,"26,217",https://en.wikipedia.org/wiki/Thatcham
Banstead,"16,666",https://en.wikipedia.org/wiki/Banstead
Heckfield,339,https://en.wikipedia.org/wiki/Heckfield
Herne Bay,"38,563",https://en.wikipedia.org/wiki/Herne Bay
Hertford,"26,783",https://en.wikipedia.org/wiki/Hertford
Whitstable,"32,100",https://en.wikipedia.org/wiki/Whitstable
Reigate,"21,820",https://en.wikipedia.org/wiki/Reigate
Ingham,857,"https://en.wikipedia.org/wiki/Ingham,_Lincolnshire"
Garreg,100,https://en.wikipedia.org/wiki/Garreg
Alfreton,"22,302",https://en.wikipedia.org/wiki/Alfreton
Poole,"151,500",https://en.wikipedia.org/wiki/Poole
Ingham,857,https://en.wikipedia.org/wiki/Ingham
Aldershot,"36,322",https://en.wikipedia.org/wiki/Aldershot
Accrington,"35,456",https://en.wikipedia.org/wiki/Accrington
Farnborough,"65,034","https://en.wikipedia.org/wiki/Farnborough,_Hampshire"
Newport,"145,700",https://en.wikipedia.org/wiki/Newport
Welwyn,"8,425",https://en.wikipedia.org/wiki/Welwyn
Dale,225,"https://en.wikipedia.org/wiki/Dale,_Pembrokeshire"
Bolton,"128,139",https://en.wikipedia.org/wiki/Bolton
Conwy,"14,723",https://en.wikipedia.org/wiki/Conwy
Capenhurst,380,https://en.wikipedia.org/wiki/Capenhurst
Horley,"22,076",https://en.wikipedia.org/wiki/Horley
Bridgend,"49,404",https://en.wikipedia.org/wiki/Bridgend
Heywood,"28,205","https://en.wikipedia.org/wiki/Heywood,_Greater_Manchester"
Crymych,"1,739",https://en.wikipedia.org/wiki/Crymych
Carno,730,https://en.wikipedia.org/wiki/Carno
Coleraine,"24,634",https://en.wikipedia.org/wiki/Coleraine
Christchurch,"48,368","https://en.wikipedia.org/wiki/Christchurch,_Dorset"
Beeston,"37,000","https://en.wikipedia.org/wiki/Beeston,_Nottinghamshire"
Dungannon,"14,340",https://en.wikipedia.org/wiki/Dungannon
Llangefni,"5,116",https://en.wikipedia.org/wiki/Llangefni
Lighthorne,361,https://en.wikipedia.org/wiki/Lighthorne
Carrickfergus,"27,998",https://en.wikipedia.org/wiki/Carrickfergus
Pwllheli,"41,483","https://en.wikipedia.org/wiki/Sutton,_London"
Newry,"26,967",https://en.wikipedia.org/wiki/Newry
Caernarfon,"9,852",https://en.wikipedia.org/wiki/Caernarfon
Downpatrick,"74,204","https://en.wikipedia.org/wiki/Ashford,_Kent"
Enniskillen,"13,823",https://en.wikipedia.org/wiki/Enniskillen
Newtownards,"28,050",https://en.wikipedia.org/wiki/Newtownards
Ruthin,"5,461",https://en.wikipedia.org/wiki/Ruthin
Chepstow,"12,350",https://en.wikipedia.org/wiki/Chepstow
Bury,"78,723",https://en.wikipedia.org/wiki/Bury
Llandrindod Wells,"134,022","https://en.wikipedia.org/wiki/Sale,_Greater_Manchester"
Haverfordwest,"12,042",https://en.wikipedia.org/wiki/Haverfordwest
Wrexham,"65,692",https://en.wikipedia.org/wiki/Wrexham
Lampeter,"2,970",https://en.wikipedia.org/wiki/Lampeter
Theale,"11,630","https://en.wikipedia.org/wiki/Burnham,_Buckinghamshire"
Soulbury,736,https://en.wikipedia.org/wiki/Soulbury
Douglas,"4,627","https://en.wikipedia.org/wiki/Brampton,_Carlisle"
Tenby,"4,696",https://en.wikipedia.org/wiki/Tenby
Cookstown,"17,816","https://en.wikipedia.org/wiki/Alton,_Hampshire"
Tywyn,"3,264",https://en.wikipedia.org/wiki/Tywyn
Banbridge,"16,637",https://en.wikipedia.org/wiki/Banbridge
Carmarthen,"13,054","https://en.wikipedia.org/wiki/Drayton,_Hampshire"
Denbigh,"8,986",https://en.wikipedia.org/wiki/Denbigh
Cardigan,"4,184","https://en.wikipedia.org/wiki/Cardigan,_Ceredigion"
Inveraray,603,https://en.wikipedia.org/wiki/Inveraray
Abergavenny,"13,054","https://en.wikipedia.org/wiki/Drayton,_Hampshire"
Durham,"48,069","https://en.wikipedia.org/wiki/Durham,_England"
Merthyr Tydfil,"43,820",https://en.wikipedia.org/wiki/Merthyr Tydfil
Ullapool,"1,541",https://en.wikipedia.org/wiki/Ullapool
Barton-upon-Humber,"11,066",https://en.wikipedia.org/wiki/Barton-upon-Humber
Newquay,"20,342",https://en.wikipedia.org/wiki/Newquay
Thorpe-le-Soken,"1,961",https://en.wikipedia.org/wiki/Thorpe-le-Soken
Melbourn,"4,414",https://en.wikipedia.org/wiki/Melbourn
Porthcawl,"16,005",https://en.wikipedia.org/wiki/Porthcawl
Hanslope,"2,238",https://en.wikipedia.org/wiki/Hanslope
Tattenhall,"2,079",https://en.wikipedia.org/wiki/Tattenhall
Kinross,"5,120",https://en.wikipedia.org/wiki/Kinross
Stratford-upon-Avon,"27,445",https://en.wikipedia.org/wiki/Stratford-upon-Avon
Olney,"6,477","https://en.wikipedia.org/wiki/Olney,_Buckinghamshire"
Ewell,"34,872",https://en.wikipedia.org/wiki/Ewell
Dodleston,715,https://en.wikipedia.org/wiki/Dodleston
Bourton,822,"https://en.wikipedia.org/wiki/Bourton,_Dorset"
Silverstone,"1,989",https://en.wikipedia.org/wiki/Silverstone
Fleet,"37,000","https://en.wikipedia.org/wiki/Fleet,_Hampshire"
Chalfont St Giles,"5,925",https://en.wikipedia.org/wiki/Chalfont St Giles
Yarm,"8,384",https://en.wikipedia.org/wiki/Yarm
Fort William,"10,459",https://en.wikipedia.org/wiki/Fort William
Tetbury,"5,472",https://en.wikipedia.org/wiki/Tetbury
Harleston,"5,067","https://en.wikipedia.org/wiki/Harleston,_Norfolk"
Thornbury,"12,342","https://en.wikipedia.org/wiki/Thornbury,_Gloucestershire"
Sheerness,"11,938",https://en.wikipedia.org/wiki/Sheerness
Kirriemuir,"6,061",https://en.wikipedia.org/wiki/Kirriemuir
Falmouth,"21,797","https://en.wikipedia.org/wiki/Falmouth,_Cornwall"
Peterlee,"20,164",https://en.wikipedia.org/wiki/Peterlee
Newton Aycliffe,"26,633",https://en.wikipedia.org/wiki/Newton Aycliffe