Postcode,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
AB10 1,"2,284","1,184","1,100","2,280",4,13,73,31.13
AB10 6,"10,737","5,446","5,291","10,594",143,88,166,64.57
AB10 7,"8,987","4,322","4,665","8,800",187,46,224,40.08
AB11 5,"1,855","1,005",850,"1,854",1,15,123,15.08
AB11 6,"6,424","3,490","2,934","6,149",275,27,74,86.99
AB11 7,"2,616","1,345","1,271","2,590",26,32,61,42.62
AB11 8,"6,821","3,366","3,455","6,589",232,17,111,61.19
AB11 9,"3,471","1,799","1,672","3,426",45,7,141,24.6
AB12 3 (part) Aberdeen City,"8,171","4,033","4,138","8,111",60,27,"1,354",6.04
AB12 3 (part) Aberdeenshire,149,74,75,149,-,6,70,2.13
AB12 4,"8,109","4,022","4,087","8,050",59,42,"1,545",5.25
AB12 5 (part) Aberdeen City,"7,699","3,601","4,098","7,652",47,15,183,42.15
AB12 5 (part) Aberdeenshire,"1,426",711,715,"1,356",70,55,"4,106",0.35
AB13 0,"2,640","1,294","1,346","2,511",129,73,744,3.55
AB14 0 (part) Aberdeen City,"5,060","2,465","2,595","4,894",166,73,"2,087",2.43
AB15 4,"4,388","2,229","2,159","4,312",76,121,128,34.29
AB15 5,"3,886","1,894","1,992","3,871",15,82,86,44.97
AB15 6,"5,755","2,768","2,987","5,664",91,34,196,29.43
AB15 7,"5,121","2,418","2,703","5,117",4,49,156,32.73
AB15 8 (part) Aberdeen City,"9,030","4,336","4,694","8,870",160,104,"2,263",3.99
AB15 8 (part) Aberdeenshire,150,71,79,150,-,2,545,0.28
AB15 9,"7,297","3,558","3,739","6,962",335,208,"1,525",4.78
AB16 5,"10,245","4,819","5,426","10,217",28,25,183,55.88
AB16 6,"7,806","3,683","4,123","7,806",-,14,130,60.06
AB16 7,"11,194","5,429","5,765","11,107",87,37,200,55.99
AB21 0 (part) Aberdeen City,467,227,240,467,-,7,"1,949",0.24
AB21 0 (part) Aberdeenshire,"7,841","3,909","3,932","7,838",3,67,"7,595",1.03
AB21 7 (part) Aberdeen City,"5,617","2,752","2,865","5,519",98,16,601,9.34
AB21 7 (part) Aberdeenshire,395,204,191,395,-,3,"1,545",0.26
AB21 9,"8,012","3,936","4,076","7,778",234,31,"1,829",4.38
AB22 8,"16,331","8,064","8,267","16,088",243,75,"1,432",11.4
AB23 8 (part) Aberdeen City,"6,185","3,104","3,081","6,102",83,17,"1,464",4.22
AB23 8 (part) Aberdeenshire,"5,082","2,584","2,498","5,052",30,31,"5,080",1
AB24 1,"6,770","3,293","3,477","4,665","2,105",42,227,29.82
AB24 2,"7,422","3,793","3,629","7,375",47,17,143,51.83
AB24 3,"6,991","3,672","3,319","6,214",777,45,135,51.71
AB24 4,"6,365","3,109","3,256","6,349",16,18,118,53.73
AB24 5,"8,749","4,363","4,386","7,382","1,367",33,153,57.12
AB25 1,"6,025","2,970","3,055","4,703","1,322",40,60,100.7
AB25 2,"6,405","3,269","3,136","6,281",124,66,156,41.02
AB25 3,"5,967","3,086","2,881","5,944",23,16,90,66.07
AB30 1 (part) Aberdeenshire,"7,165","3,580","3,585","7,069",96,92,"28,978",0.25
AB30 1 (part) Angus,64,34,30,57,7,-,559,0.11
AB31 4,"4,627","2,278","2,349","4,499",128,136,"16,156",0.29
AB31 5 (part) Aberdeenshire,"8,655","4,261","4,394","8,615",40,191,"6,802",1.27
AB31 6,"2,048","1,020","1,028","2,046",2,74,"30,679",0.07
AB32 6 (part) Aberdeenshire,"12,032","5,856","6,176","11,970",62,128,"5,482",2.19
AB32 7,858,421,437,858,-,13,"4,118",0.21
AB33 8,"5,340","2,700","2,640","5,300",40,95,"30,594",0.17
AB34 4,"1,202",605,597,"1,149",53,15,"6,509",0.18
AB34 5,"4,172","2,033","2,139","4,112",60,96,"28,260",0.15
AB35 5,"2,643","1,293","1,350","2,534",109,44,"100,980",0.03
AB36 8,471,249,222,468,3,10,"25,003",0.02
AB37 9 (part) Moray,"1,519",783,736,"1,515",4,16,"53,365",0.03
AB38 7,"2,166","1,053","1,113","2,159",7,28,"14,596",0.15
AB38 9,"2,461","1,200","1,261","2,417",44,48,"7,977",0.31
AB39 2,"11,602","5,637","5,965","11,419",183,146,"3,532",3.28
AB39 3,"6,049","3,015","3,034","6,046",3,70,"17,611",0.34
AB41 6,"2,966","1,499","1,467","2,960",6,50,"6,785",0.44
AB41 7,"4,935","2,480","2,455","4,935",-,73,"12,253",0.4
AB41 8,"4,999","2,539","2,460","4,989",10,50,"18,230",0.27
AB41 9,"7,873","3,807","4,066","7,750",123,54,314,25.11
AB42 0,"3,363","1,677","1,686","3,331",32,28,"7,490",0.45
AB42 1,"9,303","4,646","4,657","9,117",186,40,293,31.73
AB42 2,"8,454","4,166","4,288","8,259",195,41,390,21.68
AB42 3,"4,153","2,113","2,040","4,128",25,35,"8,332",0.5
AB42 4,"3,737","1,890","1,847","3,732",5,36,"10,426",0.36
AB42 5,"4,739","2,293","2,446","4,738",1,61,"9,527",0.5
AB43 6,"3,214","1,614","1,600","3,208",6,12,"12,633",0.25
AB43 7,"4,066","2,038","2,028","4,065",1,25,"8,261",0.49
AB43 8,"4,409","2,149","2,260","4,352",57,51,"8,357",0.53
AB43 9,"12,309","6,033","6,276","12,144",165,93,388,31.7
AB44 1,"4,009","1,984","2,025","3,995",14,31,131,30.66
AB45 1,"4,016","1,935","2,081","3,937",79,31,144,27.95
AB45 2 (part) Aberdeenshire,"4,519","2,231","2,288","4,479",40,39,"10,532",0.43
AB45 3,"2,489","1,263","1,226","2,447",42,36,"15,876",0.16
AB51 0,"11,065","5,506","5,559","11,013",52,117,"16,844",0.66
AB51 3,"4,920","2,323","2,597","4,827",93,40,193,25.48
AB51 4,"6,299","3,146","3,153","6,276",23,47,185,34.03
AB51 5,"7,226","3,616","3,610","7,172",54,120,"11,091",0.65
AB51 6,671,323,348,671,-,3,80,8.43
AB51 7,"2,144","1,070","1,074","2,144",-,54,"13,195",0.16
AB51 8,"2,279","1,154","1,125","2,255",24,24,"8,402",0.27
AB52 6,"4,808","2,401","2,407","4,767",41,61,"15,986",0.3
AB53 4,"6,139","2,983","3,156","6,084",55,58,"8,715",0.7
AB53 5,"2,153","1,094","1,059","2,143",10,23,"10,409",0.21
AB53 6,"1,473",735,738,"1,449",24,11,"5,456",0.27
AB53 8,"2,792","1,407","1,385","2,750",42,43,"15,952",0.18
AB54 4 (part) Aberdeenshire,"3,178","1,605","1,573","3,176",2,49,"38,410",0.08
AB54 4 (part) Moray,69,33,36,69,-,-,"13,016",0.01
AB54 6,"1,050",523,527,"1,050",-,15,"10,627",0.1
AB54 7 (part) Aberdeenshire,"2,052","1,041","1,011","2,049",3,18,"8,320",0.25
AB54 7 (part) Moray,635,317,318,635,-,13,"4,434",0.14
AB54 8,"4,523","2,154","2,369","4,432",91,35,170,26.65
AB55 4,"2,183","1,092","1,091","2,171",12,23,"14,223",0.15
AB55 5 (part) Moray,"5,187","2,524","2,663","5,104",83,45,"6,371",0.81
AB55 6,"1,961",990,971,"1,961",-,30,"18,500",0.11
AB56 1,"8,437","4,050","4,387","8,318",119,88,504,16.74
AB56 4 (part) Aberdeenshire,167,78,89,136,31,3,"1,432",0.12
AB56 4 (part) Moray,"4,376","2,149","2,227","4,334",42,52,"2,832",1.55
AB56 5,"1,950",978,972,"1,950",-,27,"9,877",0.2
DD1 1,"1,318",741,577,"1,042",276,7,34,38.56
DD1 2,"2,109","1,076","1,033","2,000",109,6,28,74.4
DD1 3,"1,547",830,717,"1,547",-,3,70,21.96
DD1 4,"3,545","1,589","1,956","2,619",926,23,99,35.85
DD1 5,"5,200","2,580","2,620","3,193","2,007",28,67,77.94
DD10 0,"5,975","2,975","3,000","5,946",29,61,"8,641",0.69
DD10 8,"7,194","3,444","3,750","7,047",147,37,252,28.54
DD10 9,"8,780","4,361","4,419","8,742",38,70,"8,145",1.08
DD11 1,"5,851","2,859","2,992","5,777",74,26,162,36.17
DD11 2,"5,331","2,604","2,727","5,223",108,69,"6,508",0.82
DD11 3,"4,137","1,997","2,140","4,001",136,33,"2,549",1.62
DD11 4,"7,490","3,666","3,824","7,486",4,60,"6,195",1.21
DD11 5,"6,067","2,820","3,247","5,973",94,33,"3,726",1.63
DD2 1,"8,558","4,122","4,436","8,246",312,140,383,22.33
DD2 2,"8,214","3,960","4,254","8,108",106,38,206,39.84
DD2 3,"6,883","3,262","3,621","6,857",26,21,291,23.64
DD2 4,"10,458","4,896","5,562","10,284",174,28,400,26.15
DD2 5 (part) Angus,"3,576","1,721","1,855","3,576",-,48,"4,001",0.89
DD2 5 (part) Dundee City,778,372,406,666,112,5,490,1.59
DD2 5 (part) Perth & Kinross,"3,362","1,681","1,681","3,202",160,21,"1,958",1.72
DD3 0 (part) Angus,"1,353",677,676,"1,353",-,21,"3,844",0.35
DD3 0 (part) Dundee City,"6,077","2,889","3,188","6,017",60,15,171,35.46
DD3 6,"7,699","3,759","3,940","7,573",126,31,185,41.57
DD3 7,"7,043","3,641","3,402","6,985",58,17,105,67.2
DD3 8,"6,527","3,137","3,390","6,494",33,32,238,27.44
DD3 9 (part) Dundee City,"8,286","3,977","4,309","8,260",26,20,571,14.52
DD4 0 (part) Angus,"1,049",515,534,"1,049",-,3,"3,836",0.27
DD4 0 (part) Dundee City,"6,323","3,103","3,220","6,288",35,18,438,14.42
DD4 6,"6,818","3,449","3,369","6,687",131,24,81,84
DD4 7,"7,863","3,679","4,184","7,827",36,38,303,25.92
DD4 8,"10,867","5,020","5,847","10,657",210,18,405,26.82
DD4 9,"10,830","5,081","5,749","10,830",-,23,343,31.53
DD5 1,"4,679","2,143","2,536","4,534",145,44,239,19.54
DD5 2,"6,445","2,978","3,467","6,363",82,71,224,28.79
DD5 3 (part) Angus,"3,329","1,668","1,661","3,329",-,39,"5,142",0.65
DD5 3 (part) Dundee City,"9,201","4,422","4,779","9,024",177,92,604,15.23
DD5 4 (part) Angus,"8,366","3,975","4,391","8,159",207,67,276,30.32
DD6 8,"5,366","2,568","2,798","5,282",84,118,"2,778",1.93
DD6 9,"3,968","1,885","2,083","3,923",45,46,"2,445",1.62
DD7 6,"5,281","2,519","2,762","5,221",60,59,"2,139",2.47
DD7 7,"7,020","3,329","3,691","6,865",155,38,"2,384",2.94
DD8 1 (part) Angus,"7,999","3,841","4,158","7,885",114,62,"12,747",0.63
DD8 2,"7,077","3,415","3,662","7,036",41,81,"13,588",0.52
DD8 3,"6,090","3,044","3,046","5,927",163,62,"13,219",0.46
DD8 4,"4,361","2,109","2,252","4,318",43,47,"30,534",0.14
DD8 5,"3,577","1,744","1,833","3,547",30,34,"12,344",0.29
DD9 6,"5,111","2,485","2,626","5,062",49,47,"9,416",0.54
DD9 7 (part) Aberdeenshire,490,255,235,490,-,7,"1,600",0.31
DD9 7 (part) Angus,"5,423","2,636","2,787","5,367",56,53,"52,197",0.1
DG1 1,"5,971","2,921","3,050","5,920",51,76,"6,427",0.93
DG1 2,"2,593","1,249","1,344","2,580",13,13,86,30.02
DG1 3,"7,005","3,380","3,625","6,920",85,78,"9,346",0.75
DG1 4,"11,005","5,376","5,629","10,864",141,161,"12,574",0.88
DG10 9,"3,962","1,918","2,044","3,913",49,65,"31,409",0.13
DG11 1,"4,739","2,385","2,354","4,726",13,71,"22,927",0.21
DG11 2,"5,263","2,538","2,725","5,174",89,39,"24,078",0.22
DG11 3,"3,299","1,578","1,721","3,219",80,28,"14,104",0.23
DG12 5,"6,066","2,907","3,159","6,011",55,50,"5,743",1.06
DG12 6,"7,071","3,458","3,613","7,033",38,79,"4,111",1.72
DG13 0,"2,958","1,472","1,486","2,895",63,36,"43,225",0.07
DG14 0 (part) Dumfries & Galloway,"1,400",715,685,"1,390",10,21,"11,465",0.12
DG16 5,"3,984","1,949","2,035","3,955",29,22,"3,139",1.27
DG2 0,"7,666","3,695","3,971","7,592",74,77,"14,509",0.53
DG2 7,"4,966","2,329","2,637","4,920",46,88,144,34.48
DG2 8,"3,974","1,954","2,020","3,801",173,53,"25,734",0.15
DG2 9,"7,768","3,742","4,026","7,516",252,57,"7,162",1.08
DG3 4,"2,253","1,100","1,153","2,219",34,30,"32,220",0.07
DG3 5,"2,571","1,243","1,328","2,541",30,57,"16,524",0.16
DG4 6,"4,660","2,258","2,402","4,606",54,31,"27,018",0.17
DG5 4,"5,311","2,531","2,780","5,250",61,62,"9,642",0.55
DG6 4,"5,188","2,545","2,643","5,083",105,75,"19,008",0.27
DG7 1,"5,741","2,714","3,027","5,639",102,83,"12,670",0.45
DG7 2,"2,319","1,118","1,201","2,246",73,47,"30,887",0.08
DG7 3 (part) Dumfries & Galloway,"4,112","1,991","2,121","4,089",23,75,"81,498",0.05
DG8 0,"1,962",965,997,"1,957",5,23,"50,935",0.04
DG8 6 (part) Dumfries & Galloway,"4,651","2,265","2,386","4,558",93,63,"15,209",0.31
DG8 7,"1,236",615,621,"1,234",2,11,"39,452",0.03
DG8 8,"2,200","1,083","1,117","2,199",1,16,"12,591",0.17
DG8 9,"2,931","1,448","1,483","2,914",17,36,"20,898",0.14
DG9 0,"3,884","1,911","1,973","3,873",11,65,"9,876",0.39
DG9 7,"6,250","2,958","3,292","6,147",103,49,194,32.2
DG9 8,"3,820","1,832","1,988","3,816",4,44,"11,397",0.34
DG9 9,"2,395","1,186","1,209","2,391",4,29,"16,037",0.15
EH1 1,"2,622","1,307","1,315","1,898",724,7,25,105.99
EH1 2,"2,026","1,066",960,"1,833",193,4,44,46.06
EH1 3,"1,775",880,895,"1,671",104,15,38,46.24
EH10 4,"9,618","4,602","5,016","9,254",364,134,111,86.48
EH10 5,"10,973","5,265","5,708","10,634",339,290,284,38.68
EH10 6,"8,180","3,957","4,223","8,105",75,254,227,36.1
"EH10 7 (part) Edinburgh, City of","4,358","2,135","2,223","4,358",-,137,168,25.96
EH10 7 (part) Midlothian,212,107,105,212,-,5,683,0.31
EH11 1,"12,919","6,610","6,309","12,688",231,69,95,135.7
EH11 2,"9,095","4,883","4,212","9,087",8,21,110,82.58
EH11 3,"10,519","5,326","5,193","9,843",676,17,231,45.61
EH11 4,"6,759","3,348","3,411","6,696",63,10,308,21.93
EH12 0,73,38,35,73,-,9,426,0.17
EH12 5,"7,246","3,547","3,699","7,161",85,74,208,34.79
EH12 6,"5,257","2,459","2,798","4,870",387,165,327,16.08
EH12 7,"10,280","4,776","5,504","10,162",118,64,181,56.95
EH12 8,"12,007","5,850","6,157","12,007",-,169,321,37.4
EH12 9,"3,748","1,888","1,860","3,748",-,34,"1,499",2.5
EH13 0,"6,906","3,473","3,433","6,526",380,200,"1,313",5.26
EH13 9,"7,727","3,580","4,147","7,700",27,53,184,41.99
EH14 1,"9,535","4,570","4,965","9,494",41,101,270,35.28
EH14 2,"9,241","4,637","4,604","9,234",7,39,251,36.82
EH14 3,"5,632","2,734","2,898","5,595",37,27,104,54.18
EH14 4,"1,814","1,134",680,304,"1,510",14,744,2.44
EH14 5,"8,370","4,039","4,331","8,334",36,114,357,23.43
EH14 6,171,80,91,171,-,5,828,0.21
"EH14 7 (part) Edinburgh, City of","4,899","2,395","2,504","4,874",25,81,"3,669",1.34
EH15 1,"6,343","3,020","3,323","6,310",33,64,214,29.63
EH15 2,"6,783","3,195","3,588","6,620",163,84,211,32.2
EH15 3,"7,555","3,595","3,960","7,432",123,33,357,21.17
"EH16 4 (part) Edinburgh, City of","7,062","3,412","3,650","6,967",95,31,555,12.73
EH16 5,"11,425","5,489","5,936","9,470","1,955",87,272,42.06
EH16 6,"11,079","5,173","5,906","10,729",350,102,626,17.7
EH17 7,"8,670","4,206","4,464","8,512",158,32,168,51.7
"EH17 8 (part) Edinburgh, City of","9,902","4,671","5,231","9,859",43,36,807,12.28
EH18 1 (part) Midlothian,"2,187","1,028","1,159","2,063",124,38,785,2.78
EH19 2,"5,650","2,686","2,964","5,603",47,16,127,44.56
EH19 3,"8,254","3,939","4,315","8,189",65,32,980,8.42
EH2 1,204,104,100,204,-,1,16,12.86
EH2 2,190,109,81,154,36,1,32,5.99
EH2 3,154,81,73,154,-,6,6,26.21
EH2 4,291,160,131,246,45,2,15,20
EH20 9,"6,294","3,018","3,276","6,215",79,14,264,23.84
EH21 6,"10,449","4,931","5,518","10,427",22,73,243,43.06
EH21 7,"6,823","3,138","3,685","6,503",320,54,226,30.16
EH21 8 (part) East Lothian,"7,649","3,549","4,100","6,791",858,25,"1,313",5.82
"EH21 8 (part) Edinburgh, City of",366,165,201,366,-,5,56,6.54
EH22 1 (part) Midlothian,"5,599","2,674","2,925","5,564",35,40,937,5.98
EH22 2 (part) East Lothian,77,37,40,77,-,1,343,0.22
EH22 2 (part) Midlothian,"6,426","3,087","3,339","6,426",-,20,"1,840",3.49
EH22 3,"3,653","1,741","1,912","3,437",216,56,418,8.73
EH22 4,"7,282","3,554","3,728","7,273",9,23,267,27.32
EH22 5,"6,458","3,127","3,331","6,452",6,18,118,54.72
EH23 4 (part) Midlothian,"7,999","3,870","4,129","7,927",72,36,"10,766",0.74
EH24 9,"1,677",809,868,"1,659",18,8,"1,251",1.34
EH25 9,"2,899","1,399","1,500","2,890",9,31,"1,182",2.45
EH26 0,"7,002","3,391","3,611","6,792",210,61,"2,591",2.7
EH26 8 (part) Midlothian,"6,125","2,969","3,156","6,097",28,33,"4,099",1.49
EH26 9 (part) Midlothian,"3,840","1,877","1,963","3,830",10,43,"3,230",1.19
EH26 9 (part) Scottish Borders,156,73,83,155,1,7,"1,057",0.15
"EH27 8 (part) Edinburgh, City of",174,87,87,174,-,5,"1,107",0.16
EH27 8 (part) West Lothian,"2,671","1,311","1,360","2,653",18,29,"7,864",0.34
EH28 8,"2,659","1,294","1,365","2,659",-,28,794,3.35
"EH29 9 (part) Edinburgh, City of","3,660","1,764","1,896","3,652",8,24,"1,080",3.39
EH3 5,"6,772","3,279","3,493","6,712",60,99,176,38.49
EH3 6,"5,940","2,987","2,953","5,918",22,110,55,108.7
EH3 7,"1,289",688,601,"1,279",10,26,22,58.09
EH3 8,"2,515","1,377","1,138","2,210",305,9,28,88.96
EH3 9,"8,195","4,019","4,176","6,870","1,325",52,101,80.88
"EH30 9 (part) Edinburgh, City of","9,479","4,625","4,854","9,457",22,112,"2,510",3.78
EH31 2,"2,568","1,214","1,354","2,527",41,51,104,24.76
EH32 0,"9,914","4,839","5,075","9,888",26,134,"3,652",2.71
EH32 9,"9,140","4,409","4,731","9,140",-,41,193,47.25
EH33 1,"5,923","2,918","3,005","5,837",86,29,"2,428",2.44
EH33 2,"8,118","3,933","4,185","8,118",-,50,"1,383",5.87
EH34 5,"2,540","1,251","1,289","2,484",56,65,"3,636",0.7
EH35 5,"2,221","1,100","1,121","2,221",-,17,"1,246",1.78
EH36 5,383,193,190,383,-,17,"3,266",0.12
EH37 5 (part) Midlothian,"1,630",795,835,"1,628",2,24,"5,831",0.28
EH38 5,406,207,199,406,-,13,"8,219",0.05
EH39 4,"5,790","2,743","3,047","5,640",150,139,277,20.94
EH39 5,"3,026","1,489","1,537","3,016",10,97,"7,928",0.38
EH4 1,"7,205","3,428","3,777","6,745",460,81,112,64.24
EH4 2,"9,760","4,607","5,153","9,748",12,114,234,41.65
EH4 3,"5,841","2,834","3,007","5,683",158,170,203,28.81
EH4 4,"10,524","5,167","5,357","10,512",12,27,146,72.24
EH4 5,"4,527","2,175","2,352","4,484",43,55,299,15.16
EH4 6,"5,869","2,816","3,053","5,811",58,143,385,15.25
EH4 7,"7,475","3,517","3,958","7,429",46,59,167,44.74
EH4 8,"2,659","1,283","1,376","2,659",-,49,66,40.09
EH40 3,"2,111","1,011","1,100","2,104",7,49,"1,885",1.12
EH41 3,"5,464","2,646","2,818","5,378",86,77,"2,529",2.16
EH41 4,"6,505","3,182","3,323","6,485",20,131,"21,388",0.3
EH42 1,"10,810","5,194","5,616","10,594",216,137,"13,570",0.8
EH43 6,848,434,414,844,4,7,"4,607",0.18
EH44 6,"3,369","1,642","1,727","3,338",31,43,"11,886",0.28
EH45 8,"5,390","2,581","2,809","5,304",86,95,"15,755",0.34
EH45 9,"5,173","2,508","2,665","5,141",32,117,"10,445",0.5
EH46 7 (part) Scottish Borders,"3,121","1,512","1,609","3,045",76,80,"16,331",0.19
EH46 7 (part) South Lanarkshire,255,123,132,255,-,10,"1,264",0.2
EH47 0,"6,742","3,196","3,546","6,656",86,19,"2,446",2.76
EH47 7,"6,877","3,275","3,602","6,872",5,19,656,10.48
EH47 8,"8,256","4,052","4,204","8,217",39,32,"1,441",5.73
EH47 9 (part) West Lothian,"4,923","2,399","2,524","4,873",50,11,"2,093",2.35
EH48 1,"7,107","3,446","3,661","7,092",15,39,"1,286",5.53
EH48 2,"15,240","7,422","7,818","15,099",141,56,"1,292",11.8
EH48 3 (part) North Lanarkshire,69,37,32,69,-,-,"1,560",0.04
EH48 3 (part) West Lothian,"8,459","4,098","4,361","8,446",13,30,"2,935",2.88
EH48 4,"5,391","2,667","2,724","5,382",9,41,"2,755",1.96
EH49 6 (part) Falkirk,897,442,455,897,-,5,460,1.95
EH49 6 (part) West Lothian,"7,565","3,732","3,833","7,527",38,130,"3,357",2.25
EH49 7 (part) Falkirk,521,265,256,516,5,5,"1,693",0.31
EH49 7 (part) West Lothian,"7,868","3,839","4,029","7,775",93,123,979,8.04
EH5 1,"6,836","3,289","3,547","6,770",66,26,196,34.89
EH5 2,"7,211","3,451","3,760","7,087",124,45,134,53.7
EH5 3,"5,500","2,621","2,879","5,429",71,125,107,51.43
EH51 0,"6,511","3,185","3,326","6,457",54,22,325,20.02
EH51 9,"8,587","4,215","4,372","8,553",34,67,743,11.56
EH52 5 (part) West Lothian,"9,004","4,369","4,635","8,904",100,27,"1,686",5.34
EH52 6 (part) West Lothian,"10,851","5,294","5,557","10,630",221,43,"4,508",2.41
"EH53 0 (part) Edinburgh, City of",142,76,66,142,-,4,620,0.23
EH53 0 (part) West Lothian,"9,673","4,678","4,995","9,670",3,57,665,14.54
EH54 5,"7,676","3,778","3,898","7,605",71,25,231,33.27
EH54 6,"21,159","10,178","10,981","20,917",242,96,646,32.78
EH54 7,"3,242","1,595","1,647","3,238",4,23,377,8.59
EH54 8,"15,121","7,430","7,691","15,111",10,75,689,21.95
EH54 9,"7,660","3,860","3,800","7,604",56,124,705,10.87
EH55 8 (part) South Lanarkshire,353,174,179,353,-,2,"1,804",0.2
EH55 8 (part) West Lothian,"8,473","4,365","4,108","7,906",567,41,"5,811",1.46
EH6 4,"8,961","4,448","4,513","8,804",157,96,110,81.21
EH6 5,"7,233","3,614","3,619","7,203",30,31,84,86.61
EH6 6,"7,760","4,073","3,687","7,659",101,27,146,53.22
EH6 7,"4,949","2,469","2,480","4,812",137,25,281,17.61
EH6 8,"10,226","5,050","5,176","10,207",19,38,76,134.95
EH7 4,"9,374","4,595","4,779","9,259",115,27,114,82.03
EH7 5,"12,164","6,058","6,106","12,026",138,43,109,111.7
EH7 6,"12,697","6,118","6,579","12,582",115,56,266,47.68
EH8 7,"10,667","5,157","5,510","10,647",20,65,176,60.55
EH8 8,"3,819","1,943","1,876","3,553",266,8,299,12.79
EH8 9,"9,655","4,616","5,039","8,718",937,38,73,132.01
EH9 1,"12,839","6,002","6,837","12,196",643,140,102,126.1
